otu	MP0144	MP0145	MP0261	MP0262	MP0326	MP0327	MP0371	MP0372	MP0440	MP0441	MP0555	MP0556	MP0626	MP0627	MP0739	MP0740	MP0758	MP0759	MP0900	MP0901	MP0959	MP0960	MP1091	MP1092	MP1140	MP1141	MP1201	MP1202	MP1241	MP1242	MP1373	MP1374	MP1434	MP1435	MP1482	MP1483	MP1493	MP1494	MP1604	MP1605	MP1648	MP1649	MP1787	MP1788	MP1896	MP1897	MP2015	MP2016	MP2052	MP2053	MP2158	MP2159	MP2252	MP2253	MP2497	MP2498	MP2633	MP2634	MP2913	MP2914	chimera.uchime	chimera.slayer	RDP_Domain	RDP_Domain_conf	RDP_Phylum	RDP_Phylum_conf	RDP_Class	RDP_Class_conf	RDP_Order	RDP_Order_conf	RDP_Family	RDP_Family_conf	RDP_Genus	RDP_Genus_conf	SILVA_Taxonomy	evalue	match
1028	1	0	0	0	1	1	3	0	3	16	0	1	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	3	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Pseudomonadales	96	Pseudomonadaceae	96	Pseudomonas	88	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. M49-6.2	4e-140	78148
1029	2	0	0	2	1	0	1	1	0	3	1	1	0	8	1	0	1	1	1	1	0	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	13	2	N	N	Bacteria	100	Proteobacteria	93	Betaproteobacteria	32	Hydrogenophilales	19	Hydrogenophilaceae	19	Sulfuricella	19	Bacteria;Proteobacteria;Deltaproteobacteria;SAR324 clade(Marine group B);uncultured organism	8e-114	97613
1031	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	N	N	Bacteria	95	Planctomycetes	44	Phycisphaerae	38	Phycisphaerales	38	Phycisphaeraceae	38	Phycisphaera	38	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera;uncultured bacterium	1e-94	80425
1032	0	5	1	2	0	1	0	1	1	0	0	1	0	1	1	1	2	1	0	3	0	0	1	1	1	0	2	2	0	0	0	0	0	7	0	2	0	2	1	0	1	0	0	3	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	1	N	N	Bacteria	100	Verrucomicrobia	76	Opitutae	76	Opitutales	33	Opitutaceae	33	Alterococcus	31	Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Cerasicoccus;uncultured deep-sea bacterium	1e-137	104195
1033	0	1	22	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	N	N	Bacteria	100	Cyanobacteria/Chloroplast	98	Cyanobacteria	98	Family XIII	57	Family XIII	57	GpXIII	57	Bacteria;Cyanobacteria;SubsectionIII;uncultured;uncultured organism	3e-135	105597
1035	0	1	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	5	1	0	1	0	0	2	1	0	0	0	0	1	0	2	0	3	0	1	0	0	0	1	1	1	1	0	N	N	Bacteria	100	Firmicutes	41	Clostridia	33	Clostridiales	31	Clostridiaceae 3	19	Thermohalobacter	18	Bacteria;Acidobacteria;Acidobacteria;AT-s3-28;uncultured bacterium	5e-78	90830
1036	0	0	1	6	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	80	Alphaproteobacteria	72	Rhodospirillales	27	Rhodospirillaceae	27	Marispirillum	16	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;uncultured bacterium	3e-73	66533
1037	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	2	0	6	2	0	0	0	0	4	2	3	0	0	0	N	N	Bacteria	100	Bacteroidetes	100	Flavobacteria	100	Flavobacteriales	100	Flavobacteriaceae	100	Marixanthomonas	100	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Marixanthomonas;Marixanthomonas ophiurae	6e-133	8849
1039	1	1	2	2	0	0	2	1	0	2	0	0	1	2	0	1	0	1	0	0	0	2	1	1	0	0	1	0	1	1	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	1	3	0	1	0	0	0	0	0	0	1	0	N	N	Bacteria	100	Bacteroidetes	98	Sphingobacteria	86	Sphingobacteriales	86	Chitinophagaceae	82	Flavisolibacter	24	Bacteria;Bacteroidetes;VC2.1 Bac22;uncultured bacterium	2e-80	73932
1041	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	1	0	0	N	N	Bacteria	100	Proteobacteria	95	Deltaproteobacteria	81	Myxococcales	34	Phaselicystidaceae	12	Phaselicystis	12	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystineae;uncultured;uncultured bacterium	1e-137	5509
1043	0	1	0	0	1	1	3	1	0	0	0	2	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	1	1	1	0	13	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	10	1	0	N	N	Bacteria	99	Chloroflexi	22	Dehalococcoidetes	18	Dehalogenimonas	18	Dehalogenimonas	18	Dehalogenimonas	18	Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexus sp.	3e-104	47578
1044	0	3	0	3	2	4	1	6	0	2	2	5	1	5	1	4	0	0	0	3	0	3	1	6	1	1	0	2	0	3	2	2	1	0	1	0	1	3	1	2	0	3	0	1	0	3	1	9	0	4	1	0	0	0	0	4	2	7	0	0	N	N	Bacteria	97	Chloroflexi	51	Dehalococcoidetes	49	Dehalogenimonas	49	Dehalogenimonas	49	Dehalogenimonas	49	Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexi bacterium	5e-109	20709
1045	1	1	1	3	0	2	1	2	0	1	1	5	0	1	0	1	0	0	0	2	0	0	0	0	0	0	4	1	0	1	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	4	0	4	0	2	0	0	0	0	0	0	0	1	0	1	N	N	Bacteria	100	Chloroflexi	27	Anaerolineae	25	Anaerolineales	25	Anaerolineaceae	25	Levilinea	11	Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium	6e-93	56814
1046	2	0	1	0	0	1	3	3	2	0	0	3	1	1	4	1	0	0	0	0	0	2	7	2	5	0	1	0	0	0	2	2	0	0	0	0	0	1	0	1	0	1	0	2	0	2	2	3	1	1	0	0	0	0	0	1	2	2	3	1	N	N	Bacteria	97	Firmicutes	46	Clostridia	34	Clostridiales	20	Peptococcaceae 2	11	Desulfurispora	11	Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexi bacterium	1e-118	2114
1048	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	N	N	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	100	Aerococcaceae	100	Aerococcus	100	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;uncultured bacterium	4e-140	28769
1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Clostridiaceae 1	100	Clostridium sensu stricto	98	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;uncultured bacterium	4e-140	97545
1050	1	2	0	0	0	1	0	0	0	0	0	2	1	1	0	1	1	0	0	1	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	99	Firmicutes	26	Bacilli	16	Bacillales	16	Pasteuriaceae	16	Pasteuria	16	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;FS140-16B-02 marine group;uncultured organism	9e-126	73285
1051	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	69	Alphaproteobacteria	37	Sphingomonadales	14	Sphingomonadaceae	14	Sandarakinorhabdus	14	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured bacterium	4e-97	100635
1052	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	68	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	82	Alphaproteobacteria	75	Rhodospirillales	59	Rhodospirillaceae	51	Desertibacter	15	Bacteria;Proteobacteria;Elev-16S-509;uncultured alpha proteobacterium	1e-137	10934
1053	0	0	0	0	0	1	0	0	0	0	4	1	3	0	2	0	0	0	0	0	1	2	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	N	N	Bacteria	100	Planctomycetes	52	Phycisphaerae	29	Phycisphaerales	29	Phycisphaeraceae	29	Phycisphaera	29	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera;uncultured bacterium	2e-92	80425
1054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	10	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	N	N	Bacteria	99	Proteobacteria	88	Alphaproteobacteria	74	Caulobacterales	20	Hyphomonadaceae	20	Robiginitomaculum	16	Bacteria;Proteobacteria;Alphaproteobacteria;DB1-14;uncultured bacterium	1e-94	84080
1057	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Planctomycetes	30	Planctomycetacia	28	Planctomycetales	28	Planctomycetaceae	28	Blastopirellula	14	Bacteria;Planctomycetes;OM190;uncultured bacterium	2e-130	90356
1061	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	N	N	Bacteria	100	Bacteroidetes	99	Sphingobacteria	67	Sphingobacteriales	67	Cytophagaceae	32	Cytophaga	25	Bacteria;Bacteroidetes;VC2.1 Bac22;uncultured bacterium	2e-99	73207
1063	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	N	N	Bacteria	98	Proteobacteria	79	Deltaproteobacteria	59	Desulfobacterales	25	Desulfobacteraceae	19	Desulfosalsimonas	17	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;0319-6G20;uncultured bacterium	3e-116	26199
1064	0	0	0	0	0	2	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	3	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	1	N	N	Bacteria	100	Proteobacteria	72	Alphaproteobacteria	42	Rhodospirillales	15	Acetobacteraceae	10	Craurococcus	9	Bacteria;Gemmatimonadetes;Gemmatimonadetes;BD2-11 terrestrial group;uncultured bacterium	2e-111	92609
1065	0	0	0	0	2	0	1	0	1	0	0	0	1	0	1	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	N	N	Bacteria	100	Planctomycetes	97	Planctomycetacia	97	Planctomycetales	97	Planctomycetaceae	97	Planctomyces	93	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;uncultured bacterium	5e-121	83900
1066	0	0	0	0	1	2	3	10	0	0	1	1	3	4	1	2	1	0	0	0	0	0	2	3	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	2	0	1	0	0	0	0	1	0	1	2	3	0	N	N	Bacteria	100	Firmicutes	59	Clostridia	56	Halanaerobiales	17	Halanaerobiaceae	17	Halarsenatibacter	17	Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexus sp.	7e-102	97754
1067	0	0	0	6	0	2	2	2	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	2	1	0	0	0	0	0	0	0	0	2	0	0	N	N	Bacteria	100	Firmicutes	54	Clostridia	46	Halanaerobiales	17	Halanaerobiaceae	17	Halarsenatibacter	17	Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium HF0500_03M05	7e-102	112199
1068	0	0	0	1	3	2	7	2	2	0	0	1	3	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	3	N	N	Bacteria	100	Acidobacteria	100	Acidobacteria_Gp3	100	Gp3	100	Gp3	100	Gp3	100	Bacteria;Acidobacteria;Acidobacteria;PAUC26f;uncultured bacterium	2e-130	3677
1069	0	0	0	1	0	1	0	2	0	2	0	2	0	1	0	3	0	0	0	0	0	0	0	2	0	0	1	3	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	N	N	Bacteria	100	Firmicutes	50	Clostridia	35	Thermoanaerobacterales	16	Thermoanaerobacteraceae	15	Gelria	11	Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium	2e-83	95746
1071	2	0	1	0	1	0	0	0	2	0	0	0	3	0	2	1	6	1	0	0	1	0	5	0	7	0	2	0	1	0	4	0	2	0	5	1	4	0	0	0	2	0	1	0	2	0	3	0	1	0	5	0	2	1	1	0	1	1	0	0	N	N	Bacteria	100	Planctomycetes	21	Planctomycetacia	19	Planctomycetales	19	Planctomycetaceae	19	Blastopirellula	8	Bacteria;Planctomycetes;OM190;uncultured bacterium	9e-126	107077
1072	0	0	0	3	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	2	0	0	N	N	Archaea	93	Euryarchaeota	93	Methanomicrobia	56	Methanosarcinales	54	Methermicoccaceae	39	Methermicoccus	39	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Marine Hydrothermal Vent Group(MHVG);uncultured archaeon	1e-140	97120
1073	0	0	2	0	2	0	6	0	1	0	3	0	5	0	0	0	0	0	1	0	4	0	3	0	1	0	2	0	7	0	1	0	1	0	1	0	1	0	0	0	2	0	1	0	2	0	4	0	2	0	0	0	0	0	0	0	8	0	3	0	N	N	Bacteria	100	Firmicutes	53	Bacilli	53	Bacillales	53	Pasteuriaceae	53	Pasteuria	53	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Rhodopirellula;uncultured bacterium	1e-121	30419
1074	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	4	0	9	0	2	0	0	0	2	0	1	0	2	0	0	0	4	0	0	0	4	0	1	0	4	0	1	0	0	0	0	0	1	0	1	0	3	0	1	0	1	0	1	0	0	N	N	Bacteria	100	Actinobacteria	44	Actinobacteria	44	Actinomycetales	32	Beutenbergiaceae	4	Serinibacter	3	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	2e-111	69911
1075	2	2	0	0	1	0	2	2	0	0	2	1	0	0	0	2	0	0	2	0	0	0	3	0	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	2	0	0	1	0	1	4	1	1	1	2	0	0	0	0	0	1	0	1	0	N	N	Bacteria	100	Proteobacteria	89	Deltaproteobacteria	71	Syntrophobacterales	31	Syntrophaceae	28	Desulfobacca	21	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;GR-WP33-58;uncultured bacterium	4e-100	26295
1076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	91	Alphaproteobacteria	38	Rhodospirillales	38	Acetobacteraceae	34	Acidicaldus	14	Bacteria;Proteobacteria;Deltaproteobacteria;GR-WP33-30;uncultured delta proteobacterium	4e-140	43863
1077	1	0	0	0	0	0	1	1	0	0	1	1	4	0	3	0	4	1	0	0	1	0	2	0	4	2	1	0	2	3	0	1	1	0	0	1	5	4	0	0	0	0	0	1	1	0	1	2	1	3	3	0	3	0	0	0	0	0	1	0	N	N	Bacteria	100	Planctomycetes	17	Planctomycetacia	17	Planctomycetales	17	Planctomycetaceae	17	Rhodopirellula	9	Bacteria;Planctomycetes;OM190;uncultured bacterium	2e-130	17539
1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	36	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Rhodobacterales	72	Rhodobacteraceae	72	Pseudovibrio	28	Bacteria;Proteobacteria;Alphaproteobacteria;OCS116 clade;marine metagenome	1e-137	39624
1082	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Bacteroidetes	100	Sphingobacteria	100	Sphingobacteriales	100	Chitinophagaceae	100	Flavitalea	37	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;uncultured;uncultured bacterium	5e-109	64664
1083	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	N	N	Bacteria	100	Bacteroidetes	99	Flavobacteria	29	Flavobacteriales	29	Cryomorphaceae	14	Wandonia	11	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Owenweeksia;uncultured bacterium	2e-99	17225
1087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Gemmatimonadetes	100	Gemmatimonadetes	100	Gemmatimonadales	100	Gemmatimonadaceae	100	Gemmatimonas	100	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;uncultured bacterium	3e-116	12715
1089	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	N	N	Bacteria	100	Bacteroidetes	100	Sphingobacteria	55	Sphingobacteriales	55	Sphingobacteriaceae	41	Solitalea	41	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;ST-12K33;uncultured bacterium	3e-104	98924
1091	0	2	0	0	0	0	0	0	0	3	0	0	1	1	2	2	1	3	0	3	0	3	0	3	0	0	1	2	0	0	0	0	3	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	1	2	1	1	0	0	0	0	1	0	N	N	Bacteria	100	Proteobacteria	70	Gammaproteobacteria	69	Alteromonadales	68	Alteromonadaceae	68	Salinimonas	65	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;marine metagenome	4e-100	53110
1092	1	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	11	1	0	0	1	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	N	N	Bacteria	100	Firmicutes	100	Bacilli	100	Bacillales	100	Planococcaceae	73	Sporosarcina	53	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Bhargavaea;Bacillus ginsengi	4e-140	985
1093	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	2	0	1	0	0	0	0	0	3	0	1	N	N	Bacteria	98	Bacteroidetes	35	Sphingobacteria	32	Sphingobacteriales	32	Chitinophagaceae	27	Parasegetibacter	11	Bacteria;Candidate division OD1;uncultured bacterium	1e-118	48989
1095	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Acidobacteria	100	Acidobacteria_Gp1	100	Gp1	100	Gp1	100	Gp1	100	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter;uncultured bacterium	1e-137	53941
1096	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Gemmatimonadetes	62	Gemmatimonadetes	62	Gemmatimonadales	62	Gemmatimonadaceae	62	Gemmatimonas	62	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;uncultured bacterium	6e-96	12715
1097	0	1	0	0	0	2	0	2	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	N	N	Archaea	72	Euryarchaeota	68	Methanomicrobia	44	Methanomicrobiales	38	Methanomicrobiaceae	37	Methanomicrobium	19	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Deep Sea Hydrothermal Vent Gp 6(DHVEG-6);uncultured euryarchaeote	2e-43	46708
1098	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	1	5	3	0	2	0	0	0	1	0	1	3	0	0	2	0	1	1	0	0	2	0	2	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	1	0	1	N	N	Bacteria	100	Firmicutes	39	Bacilli	27	Bacillales	27	Pasteuriaceae	27	Pasteuria	27	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;FS140-16B-02 marine group;uncultured bacterium	1e-137	45390
1099	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	3	0	0	0	0	N	N	Bacteria	99	Proteobacteria	85	Alphaproteobacteria	75	Rhodospirillales	36	Rhodospirillaceae	30	Dongia	25	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;wr0007;uncultured bacterium	1e-137	59202
1101	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	N	N	Bacteria	96	Proteobacteria	38	Deltaproteobacteria	18	Myxococcales	12	Cystobacteraceae	10	Archangium	5	Bacteria;Planctomycetes;Phycisphaerae;vadinBA30 marine sediment group;uncultured deep-sea bacterium	5e-121	20679
1102	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Firmicutes	43	Clostridia	18	Clostridiales	16	Clostridiaceae 3	11	Thermohalobacter	11	Bacteria;Planctomycetes;Pla3 lineage;uncultured bacterium	3e-110	88148
1103	0	0	0	2	0	1	0	5	0	2	0	3	0	1	0	1	0	3	0	0	0	1	0	2	0	0	0	4	0	1	0	1	0	0	0	3	0	5	0	0	0	2	0	2	1	0	0	3	0	1	0	2	0	4	0	1	0	2	0	0	N	N	Bacteria	99	Firmicutes	54	Clostridia	42	Clostridiales	38	Ruminococcaceae	20	Anaerotruncus	19	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured SAR406 cluster bacterium HF4000_22B16	5e-109	78218
1105	1	1	22	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	0	0	1	0	1	0	2	0	2	0	1	0	0	30	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	N	N	Bacteria	100	Cyanobacteria/Chloroplast	98	Cyanobacteria	98	Family IV	55	Family IV	55	GpIV	55	Bacteria;Cyanobacteria;SubsectionIII;Phormidium;cyanobacterium EBD11	3e-116	38757
1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	Bacteria	100	Proteobacteria	99	Alphaproteobacteria	93	Rhodospirillales	89	Rhodospirillaceae	84	Fodinicurvata	54	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Fodinicurvata;uncultured bacterium	4e-128	36765
