OTU code	MP0144	MP0145	MP0261	MP0262	MP0326	MP0327	MP0371	MP0372	MP0440	MP0441	MP0555	MP0556	MP0626	MP0627	MP0739	MP0740	MP0758	MP0759	MP0900	MP0901	MP0959	MP0960	MP1091	MP1092	MP1140	MP1141	MP1201	MP1202	MP1241	MP1242	MP1373	MP1374	MP1434	MP1435	MP1482	MP1483	MP1493	MP1494	MP1604	MP1605	MP1648	MP1649	MP1787	MP1788	MP1896	MP1897	MP2015	MP2016	MP2052	MP2053	MP2158	MP2159	MP2252	MP2253	MP2497	MP2498	MP2633	MP2634	MP2913	MP2914	SILVA_Taxonomy
1684	0	0	0	1	1	2	0	12	0	0	0	1	0	3	0	2	0	1	0	0	0	3	0	1	0	0	0	0	0	5	1	1	0	0	1	0	0	0	0	8	0	0	1	3	0	7	1	1	0	2	0	0	0	0	0	0	0	0	4	0	"Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexi bacterium"
1685	0	1	1	7	2	9	0	13	2	1	0	0	0	2	0	0	0	3	0	2	1	0	0	2	1	1	1	3	0	3	2	7	2	0	0	3	0	0	1	10	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	2	4	3	0	"Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexi bacterium"
1686	0	0	0	2	0	0	0	8	0	0	0	0	1	1	1	4	0	1	1	0	0	0	1	0	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0	3	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	4	0	0	"Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium"
1687	0	0	1	0	8	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	7	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium;Brachybacterium sp. I20-12"
1688	0	0	0	0	0	0	0	4	0	0	1	1	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	2	0	"Bacteria;Chloroflexi;SAR202 clade;uncultured deep-sea bacterium"
1689	0	0	1	5	0	6	0	6	0	0	0	3	0	1	0	3	0	0	0	1	0	2	1	2	0	0	0	0	0	5	0	1	0	0	0	4	0	5	0	2	1	1	0	0	0	4	1	1	1	0	0	0	0	0	0	2	0	0	3	2	"Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium"
1690	0	0	0	0	0	0	0	3	0	0	0	5	0	4	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	4	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	"Bacteria;Chloroflexi;SAR202 clade;uncultured deep-sea bacterium"
1691	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Gelria;uncultured Gelria sp."
1692	0	0	0	0	0	0	0	1	0	0	0	2	5	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	"Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexi bacterium"
1693	0	1	0	5	0	1	0	4	0	0	0	2	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	0	0	5	0	2	6	0	"Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium"
1694	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;uncultured;uncultured bacterium"
1696	0	0	5	1	4	0	2	2	0	0	10	0	11	1	0	0	1	0	0	0	4	0	3	0	5	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	1	0	5	0	1	0	"Bacteria;Planctomycetes;Pla3 lineage;uncultured bacterium"
1697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	2	0	5	4	1	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella;uncultured bacterium"
1698	0	0	2	0	0	0	4	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;mitochondria;Carludovica palmata"
1699	0	0	0	0	1	0	0	0	0	0	3	1	2	0	2	0	0	0	0	0	0	0	2	0	2	0	1	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	2	0	"Bacteria;Planctomycetes;OM190;uncultured bacterium"
1700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomicrobium;uncultured prokaryote"
1701	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	1	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	8	2	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystineae;uncultured;uncultured bacterium"
1702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Gemmatimonadetes;Gemmatimonadetes;AT425-EubC11 terrestrial group;uncultured Gemmatimonadetes bacterium"
1703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Verrucomicrobia;OPB35 soil group;uncultured Verrucomicrobia bacterium"
1705	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	7	0	0	1	1	0	0	0	0	0	1	0	3	3	0	0	5	4	1	1	3	0	4	0	3	3	0	0	1	0	3	0	5	7	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;Rhodovulum sulfidophilum"
1708	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured marine bacterium"
1709	0	1	0	5	0	8	0	9	0	4	0	1	0	5	0	5	0	17	1	0	0	2	0	0	0	0	0	4	0	7	0	2	0	0	0	11	0	4	0	6	0	1	0	3	0	3	0	6	0	5	0	2	0	7	0	3	0	4	0	1	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium"
1710	0	0	0	2	0	4	0	6	0	0	0	1	0	2	0	4	0	1	0	0	0	0	0	4	0	0	0	3	0	15	0	2	0	0	0	16	0	13	0	5	0	4	0	6	0	4	0	1	0	2	0	0	0	7	0	0	0	0	0	0	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium"
1711	0	0	0	1	0	2	0	12	0	0	0	1	0	1	1	3	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	2	0	0	0	2	"Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;0319-6G20;marine metagenome"
1712	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	"Bacteria;Bacteroidetes;SB-5;uncultured bacterium"
1713	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	5	0	0	0	0	1	1	1	0	0	2	0	1	0	4	0	2	0	0	1	6	0	2	0	1	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	"Bacteria;Verrucomicrobia;Arctic97B-4 marine group;uncultured organism"
1714	0	0	4	2	4	3	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	2	0	0	1	1	0	1	0	3	1	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	"Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Nitrospinaceae;uncultured;uncultured bacterium"
1720	0	0	0	1	5	2	2	3	1	0	1	0	3	2	1	1	0	1	0	0	1	2	1	1	1	0	0	1	0	0	1	1	0	0	2	2	2	6	1	6	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	3	2	2	0	3	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured bacterium"
1730	0	1	17	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	10	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Flexithrix;Flexithrix dorotheae"
1734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium"
1735	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;uncultured Gemmatimonadetes bacterium"
1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	3	0	0	0	0	0	3	0	11	0	0	0	3	0	0	1	0	0	"Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;uncultured bacterium"
1737	0	0	1	0	0	0	2	0	1	0	1	0	4	0	0	0	1	0	3	0	1	0	2	0	2	0	5	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	"Bacteria;Proteobacteria;Deltaproteobacteria;GR-WP33-30;uncultured delta proteobacterium"
1738	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	13	0	0	0	0	0	0	0	0	0	3	0	5	0	2	0	0	1	13	0	16	0	2	0	0	0	2	0	0	0	1	0	1	1	8	0	29	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;ZD0417 marine group;uncultured marine bacterium"
1739	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Deltaproteobacteria;DTB120;uncultured bacterium"
1740	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	1	5	0	1	0	1	1	0	2	1	1	0	1	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	No blast hit
1742	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Cyanobacteria;MLE1-12;uncultured bacterium"
1743	2	0	1	0	2	0	2	2	1	0	1	4	1	1	1	0	0	2	0	0	4	0	5	0	1	0	2	0	1	0	2	0	1	0	4	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	2	0	0	0	1	0	3	0	3	0	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;PAUC34f;uncultured bacterium"
1744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;WCHB1-69;uncultured Bacteroidetes bacterium"
1745	0	0	0	2	0	4	0	5	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	5	0	1	"Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexi bacterium"
1748	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Spirochaeta;uncultured organism"
1749	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	1	0	0	0	1	0	2	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	"Bacteria;Candidate division WS3;uncultured bacterium"
1751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangiineae;Polyangiaceae;Byssovorax;Aetherobacter rufus"
1752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;uncultured;uncultured bacterium"
1753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;uncultured bacterium"
1755	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Gemmatimonadetes;Gemmatimonadetes;AT425-EubC11 terrestrial group;uncultured Gemmatimonadetes bacterium"
1756	0	0	0	4	1	18	0	2	0	12	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3	0	2	0	8	0	2	0	2	0	3	0	0	0	2	0	0	0	2	0	1	0	3	2	0	"Bacteria;Proteobacteria;Deltaproteobacteria;SAR324 clade(Marine group B);uncultured bacterium"
1757	0	1	0	2	0	4	0	2	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	1	4	3	"Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Deep Sea Hydrothermal Vent Gp 6(DHVEG-6);uncultured euryarchaeote"
1759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	1	3	3	2	21	14	5	18	3	3	0	0	0	0	0	0	0	0	0	0	1	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax;uncultured bacterium"
1763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera;uncultured planctomycete"
1765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	11	0	5	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;uncultured planctomycete"
1766	0	2	0	6	1	11	1	3	0	3	0	5	0	10	2	6	0	3	0	1	0	2	0	0	0	0	0	8	0	9	1	8	0	0	0	5	0	5	0	13	0	3	0	9	0	9	0	4	0	2	0	0	0	4	0	2	0	4	2	2	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium"
1767	0	3	0	10	0	7	0	5	0	5	0	0	0	1	0	3	0	3	0	5	0	5	0	0	0	0	0	2	0	9	1	2	0	1	0	4	0	0	0	12	0	3	0	0	0	1	0	2	0	2	0	0	0	3	0	0	0	3	0	0	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured SAR406 cluster bacterium HF4000_22B16"
1768	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	16	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Planctomycetes;028H05-P-BN-P5;uncultured planctomycete"
1769	3	0	0	0	0	2	0	0	4	0	0	0	2	0	1	2	4	0	1	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	1	0	0	"Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;GR-WP33-58;uncultured bacterium"
1771	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	"Bacteria;Lentisphaerae;Lentisphaeria;LD1-PB3;uncultured Verrucomicrobia bacterium"
1775	0	0	0	2	0	2	0	2	0	1	0	0	0	2	0	1	0	1	0	5	0	1	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	"Bacteria;Bacteroidetes;BD2-2;uncultured bacterium"
1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	1	0	2	0	0	0	1	0	1	0	1	0	0	0	4	0	12	0	2	0	11	0	27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;GR-WP33-58;uncultured bacterium"
1782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;uncultured;uncultured gamma proteobacterium"
1787	0	0	1	2	0	0	1	0	0	0	0	0	2	0	0	0	2	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	5	4	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;JL-ETNP-Y6;uncultured bacterium"
1788	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	"Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Flavisolibacter;uncultured Flavisolibacter sp."
1795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	2	0	0	0	2	0	0	0	2	0	4	0	3	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	"Bacteria;Cyanobacteria;Chloroplast;uncultured phototrophic eukaryote"
1797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	3	0	1	1	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No blast hit
1798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfomonile;uncultured Syntrophaceae bacterium"
1799	0	0	0	2	1	0	0	18	0	1	1	1	2	3	0	0	0	1	0	1	0	0	0	2	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	"Bacteria;Chloroflexi;SAR202 clade;marine metagenome"
1800	1	0	0	1	2	1	1	9	0	1	0	0	0	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	2	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	2	0	3	0	1	0	0	"Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexi bacterium"
1801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"Bacteria;Acidobacteria;Acidobacteria;SJA-149;uncultured Acidobacteriaceae bacterium"
1802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	4	0	3	7	10	2	0	55	1	31	0	15	1	12	1	32	1	14	0	3	0	10	0	15	0	3	0	10	2	7	0	10	0	"Bacteria;Cyanobacteria;SHA-109;uncultured bacterium"
1803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	3	0	0	5	2	1	0	29	0	14	0	14	0	1	0	13	1	5	0	5	0	14	0	4	1	0	0	8	2	1	1	0	0	"Bacteria;Cyanobacteria;SHA-109;uncultured bacterium"
1804	0	0	0	3	1	3	0	3	0	4	0	0	0	3	0	0	0	3	1	2	0	0	0	4	0	0	0	0	0	5	0	4	0	0	0	1	0	1	1	5	0	2	0	1	0	1	0	3	0	3	0	0	0	0	1	1	0	2	1	0	"Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OCS155 marine group;uncultured bacterium"
1805	0	0	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	4	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	7	6	3	0	0	0	0	0	0	0	0	0	1	0	1	"Bacteria;Acidobacteria;Acidobacteria;KF-JG30-18;uncultured deep-sea bacterium"
1807	1	0	0	10	0	9	0	21	2	4	0	7	0	7	0	8	0	8	0	0	0	1	0	3	0	0	2	4	0	11	0	3	0	1	0	7	0	4	0	9	0	0	0	3	0	2	0	0	0	4	1	2	0	9	0	1	0	10	0	0	"Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium"
1808	0	0	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium;Alkalibacterium sp. E-059"
1809	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	16	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oleispira;uncultured Antarctic sea ice bacterium"
1811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangiineae;uncultured;uncultured bacterium"
1812	0	1	6	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangiineae;uncultured;uncultured bacterium"
1814	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;uncultured bacterium"
1815	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Nitrospirae;Nitrospira;Nitrospirales;4-29;uncultured bacterium"
